rank,code,occupation_classification,occupation,probability
509,47-2043,Construction,Floor Sanders and Finishers,0.87
410,47-2044,Construction,Tile and Marble Setters,0.75
595,47-2051,Construction,Cement Masons and Concrete Finishers,0.94
519,47-2053,Construction,Terrazzo Workers and Finishers,0.88
512,47-2061,Construction,Construction Laborers,0.88
472,47-2071,Construction,Paving - Surfacing - and Tamping Equipment Operators,0.83
454,47-2072,Construction,Pile-Driver Operators,0.82
617,47-2073,Construction,Operating Engineers and Other Construction Equipment Operators,0.95
433,47-2081,Construction,Drywall and Ceiling Tile Installers,0.79
344,47-2082,Construction,Tapers,0.62
192,47-2111,Construction,Electricians,0.15
402,47-2121,Construction,Glaziers,0.73
465,47-2131,Construction,Insulation Workers - Floor - Ceiling - and Wall,0.83
356,47-2132,Construction,Insulation Workers - Mechanical,0.64
411,47-2141,Construction,Painters - Construction and Maintenance,0.75
505,47-2142,Construction,Paperhangers,0.87
345,47-2151,Construction,Pipelayers,0.62
249,47-2152,Construction,Plumbers - Pipefitters - and Steamfitters,0.35
475,47-2161,Construction,Plasterers and Stucco Masons,0.84
534,47-2171,Construction,Reinforcing Iron and Rebar Workers,0.9
535,47-2181,Construction,Roofers,0.9
453,47-2211,Construction,Sheet Metal Workers,0.82
457,47-2221,Construction,Structural Iron and Steel Workers,0.83
463,47-3011,Construction,Helpers–Brickmasons - Blockmasons - Stonemasons - and Tile and Marble Setters,0.83
573,47-3012,Construction,Helpers–Carpenters,0.92
408,47-3013,Construction,Helpers–Electricians,0.74
603,47-3014,Construction,Helpers–Painters - Paperhangers - Plasterers - and Stucco Masons,0.94
320,47-3015,Construction,Helpers–Pipelayers - Plumbers - Pipefitters - and Steamfitters,0.57
395,47-3016,Construction,Helpers–Roofers,0.72
350,47-4011,Construction,Construction and Building Inspectors,0.63
268,47-4021,Construction,Elevator Installers and Repairers,0.39
568,47-4031,Construction,Fence Erectors,0.92
307,47-4041,Construction,Hazardous Materials Removal Workers,0.53
511,47-4051,Construction,Highway Maintenance Workers,0.87
528,47-4061,Construction,Rail-Track Laying and Maintenance Equipment Operators,0.89
468,47-4071,Construction,Septic Tank Servicers and Sewer Pipe Cleaners,0.83
464,47-4091,Construction,Segmental Pavers,0.83
390,47-4799,Construction,Construction and Related Workers - All Other,0.71
440,47-5011,Construction,Derrick Operators - Oil and Gas,0.8
306,47-5012,Construction,Rotary Drill Operators - Oil and Gas,0.53
576,47-5013,Construction,Service Unit Operators - Oil - Gas - and Mining,0.93
488,47-5021,Construction,Earth Drillers - Except Oil and Gas,0.85
292,47-5031,Construction,Explosives Workers - Ordnance Handling Experts - and Blasters,0.48
309,47-5041,Construction,Continuous Mining Machine Operators,0.54
327,47-5042,Construction,Mine Cutting and Channeling Machine Operators,0.59
633,47-5051,Construction,Rock Splitters - Quarry,0.96
296,47-5061,Construction,Roof Bolters - Mining,0.49
376,47-5071,Construction,Roustabouts - Oil and Gas,0.68
258,47-5081,Construction,Helpers–Extraction Workers,0.37
2,49-1011,Installation - Maintenance - Repair,First-Line Supervisors of Mechanics - Installers - and Repairers,0.003
405,49-2011,Installation - Maintenance - Repair,Computer - Automated Teller - and Office Machine Repairers,0.74
582,49-2021,Installation - Maintenance - Repair,Radio - Cellular - and Tower Equipment Installers and Repairs,0.93
254,49-2022,Installation - Maintenance - Repair,Telecommunications Equipment Installers and Repairers - Except Line Installers,0.36
386,49-2091,Installation - Maintenance - Repair,Avionics Technicians,0.7
417,49-2092,Installation - Maintenance - Repair,Electric Motor - Power Tool - and Related Repairers,0.76
554,49-2093,Installation - Maintenance - Repair,Electrical and Electronics Installers and Repairers - Transportation Equipment,0.91
277,49-2094,Installation - Maintenance - Repair,Electrical and Electronics Repairers - Commercial and Industrial Equipment,0.41
261,49-2095,Installation - Maintenance - Repair,layElectrical and Electronics Repairers - Powerhouse - Substation - and Re-,0.38
334,49-2096,Installation - Maintenance - Repair,Electronic Equipment Installers and Repairers - Motor Vehicles,0.61
361,49-2097,Installation - Maintenance - Repair,Electronic Home Entertainment Equipment Installers and Repairers,0.65
450,49-2098,Installation - Maintenance - Repair,Security and Fire Alarm Systems Installers,0.82
387,49-3011,Installation - Maintenance - Repair,Aircraft Mechanics and Service Technicians,0.71
558,49-3021,Installation - Maintenance - Repair,Automotive Body and Related Repairers,0.91
313,49-3022,Installation - Maintenance - Repair,Automotive Glass Installers and Repairers,0.55
330,49-3023,Installation - Maintenance - Repair,Automotive Service Technicians and Mechanics,0.59
404,49-3031,Installation - Maintenance - Repair,Bus and Truck Mechanics and Diesel Engine Specialists,0.73
414,49-3041,Installation - Maintenance - Repair,Farm Equipment Mechanics and Service Technicians,0.75
272,49-3042,Installation - Maintenance - Repair,Mobile Heavy Equipment Mechanics - Except Engines,0.4
521,49-3043,Installation - Maintenance - Repair,Rail Car Repairers,0.88
368,49-3051,Installation - Maintenance - Repair,Motorboat Mechanics and Service Technicians,0.66
435,49-3052,Installation - Maintenance - Repair,Motorcycle Mechanics,0.79
578,49-3053,Installation - Maintenance - Repair,Outdoor Power Equipment and Other Small Engine Mechanics,0.93
596,49-3091,Installation - Maintenance - Repair,Bicycle Repairers,0.94
329,49-3092,Installation - Maintenance - Repair,Recreational Vehicle Service Technicians,0.59
384,49-3093,Installation - Maintenance - Repair,Tire Repairers and Changers,0.7
547,49-9011,Installation - Maintenance - Repair,Mechanical Door Repairers,0.91
347,49-9012,Installation - Maintenance - Repair,Control and Valve Installers and Repairers - Except Mechanical Door,0.63
362,49-9021,Installation - Maintenance - Repair,Heating - Air Conditioning - and Refrigeration Mechanics and Installers,0.65
397,49-9031,Installation - Maintenance - Repair,Home Appliance Repairers,0.72
374,49-9041,Installation - Maintenance - Repair,Industrial Machinery Mechanics,0.67
499,49-9043,Installation - Maintenance - Repair,Maintenance Workers - Machinery,0.86
325,49-9044,Installation - Maintenance - Repair,Millwrights,0.59
451,49-9045,Installation - Maintenance - Repair,Refractory Materials Repairers - Except Brickmasons,0.82
166,49-9051,Installation - Maintenance - Repair,Electrical Power-Line Installers and Repairers,0.097
297,49-9052,Installation - Maintenance - Repair,Telecommunications Line Installers and Repairers,0.49
658,49-9061,Installation - Maintenance - Repair,Camera and Photographic Equipment Repairers,0.97
232,49-9062,Installation - Maintenance - Repair,Medical Equipment Repairers,0.27
545,49-9063,Installation - Maintenance - Repair,Musical Instrument Repairers and Tuners,0.91
697,49-9064,Installation - Maintenance - Repair,Watch Repairers,0.99
352,49-9071,Installation - Maintenance - Repair,Maintenance and Repair Workers - General,0.64
597,49-9091,Installation - Maintenance - Repair,Coin - Vending - and Amusement Machine Servicers and Repairers,0.94
202,49-9092,Installation - Maintenance - Repair,Commercial Divers,0.18
640,49-9093,Installation - Maintenance - Repair,Fabric Menders - Except Garment,0.96
420,49-9094,Installation - Maintenance - Repair,Locksmiths and Safe Repairers,0.77
203,49-9095,Installation - Maintenance - Repair,Manufactured Building and Mobile Home Installers,0.18
527,49-9096,Installation - Maintenance - Repair,Riggers,0.89
543,49-9097,Installation - Maintenance - Repair,Signal and Track Switch Repairers,0.9
434,49-9098,Installation - Maintenance - Repair,Helpers–Installation - Maintenance - and Repair Workers,0.79
300,49-9799,Installation - Maintenance - Repair,Installation - Maintenance - and Repair Workers - All Other,0.5
73,51-1011,Production,First-Line Supervisors of Production and Operating Workers,0.016
436,51-2011,Production,Aircraft Structure - Surfaces - Rigging - and Systems Assemblers,0.79
403,51-2021,Production,Coil Winders - Tapers - and Finishers,0.73
621,51-2022,Production,Electrical and Electronic Equipment Assemblers,0.95
648,51-2023,Production,Electromechanical Equipment Assemblers,0.97
449,51-2031,Production,Engine and Other Machine Assemblers,0.82
275,51-2041,Production,Structural Metal Fabricators and Fitters,0.41
575,51-2091,Production,Fiberglass Laminators and Fabricators,0.93
646,51-2092,Production,Team Assemblers,0.97
690,51-2093,Production,Timing Device Assemblers and Adjusters,0.98
522,51-3011,Production,Bakers,0.89
583,51-3021,Production,Butchers and Meat Cutters,0.93
593,51-3022,Production,Meat - Poultry - and Fish Cutters and Trimmers,0.94
333,51-3023,Production,Slaughterers and Meat Packers,0.6
548,51-3091,Production,Food and Tobacco Roasting - Baking - and Drying Machine Operators and Tenders,0.91
385,51-3092,Production,Food Batchmakers,0.7
341,51-3093,Production,Food Cooking Machine Operators and Tenders,0.61
498,51-4011,Production,Computer-Controlled Machine Tool Operators - Metal and Plastic,0.86
253,51-4012,Production,Computer Numerically Controlled Machine Tool Programmers - Metal and Plastic,0.36
560,51-4021,Production,Extruding and Drawing Machine Setters - Operators - and Tenders - Metal and Plastic,0.91
587,51-4022,Production,Forging Machine Setters - Operators - and Tenders - Metal and Plastic,0.93
471,51-4023,Production,Rolling Machine Setters - Operators - and Tenders - Metal and Plastic,0.83
427,51-4031,Production,Cutting - Punching - and Press Machine Setters - Operators - and Tenders - Metal and Plastic,0.78
590,51-4032,Production,Drilling and Boring Machine Tool Setters - Operators - and Tenders - Metal and Plastic,0.94
624,51-4033,Production,Grinding - Lapping - Polishing - and Buffing Machine Tool Setters - Operators - and Tenders - Metal and Plastic,0.95
477,51-4034,Production,Lathe and Turning Machine Tool Setters - Operators - and Tenders - Metal and Plastic,0.84
678,51-4035,Production,Milling and Planing Machine Setters - Operators - and Tenders - Metal and Plastic,0.98
358,51-4041,Production,Machinists,0.65
516,51-4051,Production,Metal-Refining Furnace Operators and Tenders,0.88
503,51-4052,Production,Pourers and Casters - Metal,0.87
581,51-4061,Production,Model Makers - Metal and Plastic,0.93
539,51-4062,Production,Patternmakers - Metal and Plastic,0.9
370,51-4071,Production,Foundry Mold and Coremakers,0.67
620,51-4072,Production,Molding - Coremaking - and Casting Machine Setters - Operators - and Tenders - Metal and Plastic,0.95
552,51-4081,Production,ticMultiple Machine Tool Setters - Operators - and Tenders - Metal and Plas-,0.91
473,51-4111,Production,Tool and Die Makers,0.84
598,51-4121,Production,Welders - Cutters - Solderers - and Brazers,0.94
342,51-4122,Production,Welding - Soldering - and Brazing Machine Setters - Operators - and Tenders,0.61
556,51-4191,Production,Heat Treating Equipment Setters - Operators - and Tenders - Metal and Plastic,0.91
476,51-4192,Production,Layout Workers - Metal and Plastic,0.84
569,51-4193,Production,Plating and Coating Machine Setters - Operators - and Tenders - Metal and Plastic,0.92
520,51-4194,Production,Tool Grinders - Filers - and Sharpeners,0.88
660,51-5111,Production,Prepress Technicians and Workers,0.97
466,51-5112,Production,Printing Press Operators,0.83
618,51-5113,Production,Print Binding and Finishing Workers,0.95
392,51-6011,Production,Laundry and Dry-Cleaning Workers,0.71
448,51-6021,Production,Pressers - Textile - Garment - and Related Materials,0.81
530,51-6031,Production,Sewing Machine Operators,0.89
304,51-6041,Production,Shoe and Leather Workers and Repairers,0.52
647,51-6042,Production,Shoe Machine Operators and Tenders,0.97
700,51-6051,Production,Sewers - Hand,0.99
479,51-6052,Production,Tailors - Dressmakers - and Custom Sewers,0.84
650,51-6061,Production,Textile Bleaching and Dyeing Machine Operators and Tenders,0.97
612,51-6062,Production,Textile Cutting Machine Setters - Operators - and Tenders,0.95
400,51-6063,Production,Textile Knitting and Weaving Machine Setters - Operators - and Tenders,0.73
637,51-6064,Production,Textile Winding - Twisting - and Drawing Out Machine Setters - Operators - and Tenders,0.96
518,51-6091,Production,Extruding and Forming Machine Setters - Operators - and Tenders - Synthetic and Glass Fibers,0.88
26,51-6092,Production,Fabric and Apparel Patternmakers,0.0049
267,51-6093,Production,Upholsterers,0.39
566,51-7011,Production,Cabinetmakers and Bench Carpenters,0.92
507,51-7021,Production,Furniture Finishers,0.87
636,51-7031,Production,Model Makers - Wood,0.96
559,51-7032,Production,Patternmakers - Wood,0.91
493,51-7041,Production,Sawing Machine Setters - Operators - and Tenders - Wood,0.86
645,51-7042,Production,Woodworking Machine Setters - Operators - and Tenders - Except Sawing,0.97
614,51-8011,Production,Nuclear Power Reactor Operators,0.95
355,51-8012,Production,Power Distributors and Dispatchers,0.64
486,51-8013,Production,Power Plant Operators,0.85
529,51-8021,Production,Stationary Engineers and Boiler Operators,0.89
339,51-8031,Production,Water and Wastewater Treatment Plant and System Operators,0.61
487,51-8091,Production,Chemical Plant and System Operators,0.85
429,51-8092,Production,Gas Plant Operators,0.78
389,51-8093,Production,Petroleum Pump System Operators - Refinery Operators - and Gaugers,0.71
491,51-8099,Production,Plant and System Operators - All Other,0.86
416,51-9011,Production,Chemical Equipment Operators and Tenders,0.76
517,51-9012,Production,Separating - Filtering - Clarifying - Precipitating - and Still Machine Setters,0.88
652,51-9021,Production,Crushing - Grinding - and Polishing Machine Setters - Operators - and Tenders,0.97
653,51-9022,Production,Grinding and Polishing Workers - Hand,0.97
462,51-9023,Production,Mixing and Blending Machine Setters - Operators - and Tenders,0.83
351,51-9031,Production,Cutters and Trimmers - Hand,0.64
496,51-9032,Production,Cutting and Slicing Machine Setters - Operators - and Tenders,0.86
584,51-9041,Production,Extruding - Forming - Pressing - and Compacting Machine Setters - Operators and Tenders,0.93
255,51-9051,Production,Furnace - Kiln - Oven - Drier - and Kettle Operators and Tenders,0.37
670,51-9061,Production,Inspectors - Testers - Sorters - Samplers - and Weighers,0.98
626,51-9071,Production,Jewelers and Precious Stone and Metal Workers,0.95
651,51-9081,Production,Dental Laboratory Technicians,0.97
284,51-9082,Production,Medical Appliance Technicians,0.45
656,51-9083,Production,Ophthalmic Laboratory Technicians,0.97
681,51-9111,Production,Packaging and Filling Machine Operators and Tenders,0.98
551,51-9121,Production,Coating - Painting - and Spraying Machine Setters - Operators - and Tenders,0.91
382,51-9122,Production,Painters - Transportation Equipment,0.69
567,51-9123,Production,Painting - Coating - and Decorating Workers,0.92
514,51-9141,Production,Semiconductor Processors,0.88
694,51-9151,Production,Photographic Process Workers and Processing Machine Operators,0.99
622,51-9191,Production,Adhesive Bonding Machine Operators and Tenders,0.95
445,51-9192,Production,Cleaning - Washing - and Metal Pickling Equipment Operators and Tenders,0.81
574,51-9193,Production,Cooling and Freezing Equipment Operators and Tenders,0.93
682,51-9194,Production,Etchers and Engravers,0.98
540,51-9195,Production,Molders - Shapers - and Casters - Except Metal and Plastic,0.9
369,51-9196,Production,Paper Goods Machine Setters - Operators - and Tenders,0.67
605,51-9197,Production,Tire Builders,0.94
365,51-9198,Production,Helpers–Production Workers,0.66
572,51-9399,Production,Production Workers - All Other,0.92
149,53-1011,Transportation - Material Moving,Aircraft Cargo Handling Supervisors,0.066
279,53-1021,Transportation - Material Moving,First-Line Supervisors of Helpers - Laborers - and Material Movers - Hand,0.42
105,53-1031,Transportation - Material Moving,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators,0.029
204,53-2011,Transportation - Material Moving,Airline Pilots - Copilots - and Flight Engineers,0.18
314,53-2012,Transportation - Material Moving,Commercial Pilots,0.55
178,53-2021,Transportation - Material Moving,Air Traffic Controllers,0.11
388,53-2022,Transportation - Material Moving,Airfield Operations Specialists,0.71
250,53-2031,Transportation - Material Moving,Flight Attendants,0.35
227,53-3011,Transportation - Material Moving,Ambulance Drivers and Attendants - Except Emergency Medical Technicians,0.25
372,53-3021,Transportation - Material Moving,Bus Drivers - Transit and Intercity,0.67
525,53-3022,Transportation - Material Moving,Bus Drivers - School or Special Client,0.89
674,53-3031,Transportation - Material Moving,Driver/Sales Workers,0.98
431,53-3032,Transportation - Material Moving,Heavy and Tractor-Trailer Truck Drivers,0.79
380,53-3033,Transportation - Material Moving,Light Truck or Delivery Services Drivers,0.69
531,53-3041,Transportation - Material Moving,Taxi Drivers and Chauffeurs,0.89
638,53-4011,Transportation - Material Moving,Locomotive Engineers,0.96
579,53-4012,Transportation - Material Moving,Locomotive Firers,0.93
553,53-4013,Transportation - Material Moving,Rail Yard Engineers - Dinkey Operators - and Hostlers,0.91
458,53-4021,Transportation - Material Moving,Railroad Brake - Signal - and Switch Operators,0.83
459,53-4031,Transportation - Material Moving,Railroad Conductors and Yardmasters,0.83
494,53-4041,Transportation - Material Moving,Subway and Streetcar Operators,0.86
461,53-5011,Transportation - Material Moving,Sailors and Marine Oilers,0.83
230,53-5021,Transportation - Material Moving,Captains - Mates - and Pilots of Water Vessels,0.27
343,53-5022,Transportation - Material Moving,Motorboat Operators,0.62
129,53-5031,Transportation - Material Moving,Ship Engineers,0.041
644,53-6011,Transportation - Material Moving,Bridge and Lock Tenders,0.97
510,53-6021,Transportation - Material Moving,Parking Lot Attendants,0.87
467,53-6031,Transportation - Material Moving,Automotive and Watercraft Service Attendants,0.83
537,53-6041,Transportation - Material Moving,Traffic Technicians,0.9
538,53-6051,Transportation - Material Moving,Transportation Inspectors,0.9
412,53-6061,Transportation - Material Moving,Transportation Attendants - Except Flight Attendants,0.75
577,53-7011,Transportation - Material Moving,Conveyor Operators and Tenders,0.93
536,53-7021,Transportation - Material Moving,Crane and Tower Operators,0.9
564,53-7031,Transportation - Material Moving,Dredge Operators,0.92
602,53-7032,Transportation - Material Moving,Excavating and Loading Machine and Dragline Operators,0.94
299,53-7033,Transportation - Material Moving,Loading Machine Operators - Underground Mining,0.5
363,53-7041,Transportation - Material Moving,Hoist and Winch Operators,0.65
588,53-7051,Transportation - Material Moving,Industrial Truck and Tractor Operators,0.93
256,53-7061,Transportation - Material Moving,Cleaners of Vehicles and Equipment,0.37
483,53-7062,Transportation - Material Moving,Laborers and Freight - Stock - and Material Movers - Hand,0.85
580,53-7063,Transportation - Material Moving,Machine Feeders and Offbearers,0.93
264,53-7064,Transportation - Material Moving,Packers and Packagers - Hand,0.38
549,53-7071,Transportation - Material Moving,Gas Compressor and Gas Pumping Station Operators,0.91
542,53-7072,Transportation - Material Moving,Pump Operators - Except Wellhead Pumpers,0.9
480,53-7073,Transportation - Material Moving,Wellhead Pumpers,0.84
585,53-7081,Transportation - Material Moving,Refuse and Recyclable Material Collectors,0.93
260,53-7111,Transportation - Material Moving,Mine Shuttle Car Operators,0.37
396,53-7121,Transportation - Material Moving,Tank Car - Truck - and Ship Loaders,0.72
